Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
141,Tyler Glasnow,31,LAD,NL,1.9,4,3,.571,3.19,18,18,0,0,0,0,90.1,56,33,32,10,43,0,106,3,2,5,366,130,3.75,1.096,5.6,1.0,4.3,10.6,2.47,,glasnty01
142,Bryce Miller,26,SEA,AL,-0.8,4,6,.400,5.68,18,18,0,0,0,0,90.1,93,57,57,17,34,0,74,3,0,2,392,67,5.17,1.406,9.3,1.7,3.4,7.4,2.18,,millebr04
143,Emerson Hancock,26,SEA,AL,-0.2,4,5,.444,4.90,22,16,2,0,0,0,90.0,93,51,49,15,31,0,64,5,1,2,385,77,5.08,1.378,9.3,1.5,3.1,6.4,2.06,,hancoem01
144,Michael Soroka,27,2TM,NL,0.6,3,8,.273,4.52,22,17,1,0,0,0,89.2,72,49,45,12,29,0,95,15,1,2,379,91,4.23,1.126,7.2,1.2,2.9,9.5,3.28,,sorokmi01
144,Michael Soroka,27,WSN,NL,0.7,3,8,.273,4.87,16,16,0,0,0,0,81.1,68,44,44,11,24,0,87,14,1,2,343,85,4.16,1.131,7.5,1.2,2.7,9.6,3.63,,sorokmi01
144,Michael Soroka,27,CHC,NL,-0.1,0,0,,1.08,6,1,1,0,0,0,8.1,4,5,1,1,5,0,8,1,0,0,36,373,4.94,1.080,4.3,1.1,5.4,8.6,1.60,,sorokmi01
145,Luis Ortiz,26,CLE,AL,0.6,4,9,.308,4.36,16,16,0,0,0,0,88.2,80,44,43,12,42,0,96,1,0,0,382,96,4.18,1.376,8.1,1.2,4.3,9.7,2.29,,ortizlu03
146,Kyle Leahy,28,STL,NL,1.5,4,2,.667,3.07,62,1,12,0,0,1,88.0,80,32,30,5,28,1,80,1,0,5,363,134,3.04,1.227,8.2,0.5,2.9,8.2,2.86,,leahyky01
147,Tyler Mahle,30,TEX,AL,2.2,6,4,.600,2.18,16,16,0,0,0,0,86.2,69,21,21,5,29,0,66,0,1,0,346,168,3.37,1.131,7.2,0.5,3.0,6.9,2.28,,mahlety01
148,Colton Gordon*,26,HOU,AL,-0.3,6,4,.600,5.34,20,14,2,0,0,1,86.0,103,54,51,21,19,2,72,2,1,3,379,79,5.37,1.419,10.8,2.2,2.0,7.5,3.79,,gordoco01
149,Jacob Latz*,29,TEX,AL,1.4,2,0,1.000,2.84,33,8,5,0,0,1,85.2,69,28,27,7,37,2,76,0,0,2,348,129,3.72,1.237,7.2,0.7,3.9,8.0,2.05,,latzja01
150,Max Scherzer,40,TOR,AL,0.2,5,5,.500,5.19,17,17,0,0,0,0,85.0,87,49,49,19,23,0,82,2,0,2,358,82,4.99,1.294,9.2,2.0,2.4,8.7,3.57,,scherma01
151,Mitch Spence,27,ATH,AL,-0.6,3,6,.333,5.10,32,8,3,0,0,1,84.2,96,57,48,16,26,2,66,4,0,1,375,82,5.10,1.441,10.2,1.7,2.8,7.0,2.54,,spencmi01
152,Jimmy Herget,31,COL,NL,3.0,1,2,.333,2.48,59,0,9,0,0,0,83.1,72,24,23,6,26,1,81,7,2,2,347,196,3.32,1.176,7.8,0.6,2.8,8.7,3.12,,hergeji01
153,Trevor Williams,33,WSN,NL,-0.6,3,10,.231,6.21,17,17,0,0,0,0,82.2,106,59,57,11,21,0,65,2,0,1,373,66,4.13,1.536,11.5,1.2,2.3,7.1,3.10,,willitr01
154,Valente Bellozo,25,MIA,NL,0.3,1,4,.200,4.65,32,6,12,0,0,0,81.1,85,44,42,15,23,0,54,4,1,0,348,95,5.20,1.328,9.4,1.7,2.5,6.0,2.35,,bellova01
155,Logan Evans,24,SEA,AL,-0.1,6,5,.545,4.32,16,15,0,0,0,0,81.1,82,45,39,13,31,1,59,4,0,5,350,88,5.05,1.389,9.1,1.4,3.4,6.5,1.90,,evanslo01
156,Spencer Bivens,31,SFG,NL,0.2,4,3,.571,4.00,54,0,16,0,0,3,81.0,83,42,36,6,25,1,61,5,0,3,343,100,3.70,1.333,9.2,0.7,2.8,6.8,2.44,,bivensp01
157,Osvaldo Bido,29,ATH,AL,-0.7,2,5,.286,5.87,26,10,7,0,0,1,79.2,93,56,
