Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
82,Erick Fedde,32,ATL,NL,-0.6,1,2,.333,8.10,5,4,0,0,0,0,23.1,30,21,21,3,13,0,13,1,0,0,111,52,5.49,1.843,11.6,1.2,5.0,5.0,1.00,,feddeer01
82,Erick Fedde,32,MIL,NL,0.1,0,1,.000,3.38,7,0,1,0,0,0,16.0,11,7,6,2,7,0,7,0,0,0,66,125,5.20,1.125,6.2,1.1,3.9,3.9,1.00,,feddeer01
83,Noah Cameron*,25,KCR,AL,3.8,9,7,.563,2.99,24,24,0,0,0,0,138.1,109,46,46,18,43,1,114,3,0,3,556,137,4.18,1.099,7.1,1.2,2.8,7.4,2.65,ROY-4,camerno01
84,Edward Cabrera,27,MIA,NL,2.8,8,7,.533,3.53,26,26,0,0,0,0,137.2,121,60,54,17,48,0,150,10,0,8,581,125,3.83,1.228,7.9,1.1,3.1,9.8,3.13,,cabreed02
85,Tyler Anderson*,35,LAA,AL,2.0,2,8,.200,4.56,26,26,0,0,0,0,136.1,135,73,69,28,57,4,104,3,3,5,599,94,5.60,1.408,8.9,1.8,3.8,6.9,1.82,,anderty01
86,JP Sears*,29,2TM,2LG,0.8,9,11,.450,5.04,27,27,0,0,0,0,135.2,143,79,76,30,36,0,117,6,0,1,583,84,5.21,1.319,9.5,2.0,2.4,7.8,3.25,,searsjp01
86,JP Sears*,29,ATH,AL,0.9,7,9,.438,4.95,22,22,0,0,0,0,111.0,112,63,61,23,29,0,97,5,0,1,472,85,5.00,1.270,9.1,1.9,2.4,7.9,3.34,,searsjp01
86,JP Sears*,29,SDP,NL,-0.1,2,2,.500,5.47,5,5,0,0,0,0,24.2,31,16,15,7,7,0,20,1,0,0,111,79,6.18,1.541,11.3,2.6,2.6,7.3,2.86,,searsjp01
87,Sean Burke,25,CHW,AL,0.9,4,11,.267,4.22,28,22,0,0,0,0,134.1,131,76,63,23,63,0,133,6,0,2,596,99,4.92,1.444,8.8,1.5,4.2,8.9,2.11,,burkese01
88,Randy Vásquez,26,SDP,NL,2.2,6,7,.462,3.84,28,26,1,0,0,0,133.2,125,59,57,16,52,1,78,7,1,3,570,111,4.85,1.324,8.4,1.1,3.5,5.3,1.50,,vasqura02
89,Dustin May,27,2TM,2LG,-0.6,7,11,.389,4.96,25,23,1,0,0,0,132.1,132,78,73,21,56,3,123,12,0,1,584,84,4.88,1.421,9.0,1.4,3.8,8.4,2.20,,maydu01
89,Dustin May,27,LAD,NL,-0.4,6,7,.462,4.85,19,18,0,0,0,0,104.0,97,60,56,16,43,3,97,8,0,1,451,86,4.74,1.346,8.4,1.4,3.7,8.4,2.26,,maydu01
89,Dustin May,27,BOS,AL,-0.3,1,4,.200,5.40,6,5,1,0,0,0,28.1,35,18,17,5,13,0,26,4,0,0,133,77,5.39,1.694,11.1,1.6,4.1,8.3,2.00,,maydu01
90,Slade Cecconi,26,CLE,AL,0.8,7,7,.500,4.30,23,23,0,0,0,0,132.0,125,66,63,24,32,1,109,3,1,3,545,97,4.64,1.189,8.5,1.6,2.2,7.4,3.41,,ceccosl01
91,Jose Quintana*,36,MIL,NL,1.3,11,7,.611,3.96,24,24,0,0,0,0,131.2,120,65,58,18,50,0,89,5,1,1,556,105,4.81,1.291,8.2,1.2,3.4,6.1,1.78,,quintjo01
92,Logan Gilbert,28,SEA,AL,2.1,6,6,.500,3.44,25,25,0,0,0,0,131.0,104,53,50,20,31,0,173,7,0,10,535,110,3.35,1.031,7.1,1.4,2.1,11.9,5.58,,gilbelo01
93,Brad Lord,25,WSN,NL,1.5,5,10,.333,4.34,48,19,2,0,0,0,130.2,126,65,63,17,43,0,108,3,0,1,546,95,4.23,1.293,8.7,1.2,3.0,7.4,2.51,,lordbr02
94,Nathan Eovaldi,35,TEX,AL,4.3,11,3,.786,1.73,22,22,0,1,1,0,130.0,90,28,25,10,21,1,129,7,0,6,496,211,2.80,0.854,6.2,0.7,1.5,8.9,6.14,,eovalna01
95,Antonio Senzatela,30,COL,NL,-0.4,4,15,.211,6.65,30,23,0,0,0,0,130.0,192,103,96,22,47,2,73,8,1,9,618,73,5.48,1.838,13.3,1.5,3.3,5.1,1.55,,senzaan01
96,Jameson Taillon,33,CHC,NL,1.3,11,7,.611,3.68,23,23,0,0,0,0,129.2,110,54,53,24,27,0,98,0,0,1,519,105,4.65,1.057,7.6,1.7,1.9,6.8,3.63,,taillja01
97,Germán Márquez,30,COL,NL,-1.1,3,16,.158,6.70,26,26,0,0,0,0,126.1,168,106,94,23,48,1,83,6,0,6,591,73,5.47,1.710,12.0,1.6,3.4,5.9,1.73,,marquge01
